,word,score
437,attacking,0.547
438,suffocating,0.547
439,slur,0.547
440,purgatory,0.547
441,anathema,0.547
442,bitterly,0.547
443,condemnation,0.547
444,coercion,0.547
445,thief,0.547
446,deleterious,0.547
447,pillage,0.547
448,ogre,0.547
449,thrash,0.539
450,liar,0.539
451,disgrace,0.539
452,jealous,0.539
453,shame,0.539
454,pig,0.539
455,infidelity,0.539
456,greedy,0.539
457,gob,0.539
458,repellant,0.539
459,repudiation,0.539
460,imprisoned,0.539
461,fatty,0.539
462,sneer,0.539
463,drunken,0.539
464,sloth,0.539
465,lethal,0.536
466,destructive,0.531
467,blemish,0.531
468,hanging,0.531
469,neurotic,0.531
470,travesty,0.531
471,aberration,0.531
472,intolerant,0.531
473,blasphemous,0.531
474,intrusive,0.531
475,brawl,0.531
476,painful,0.531
477,smuggler,0.531
478,withered,0.531
479,hydrocephalus,0.531
480,disintegrate,0.531
481,lying,0.531
482,condescension,0.531
483,burnt,0.531
484,ruined,0.531
485,accusation,0.523
486,intolerance,0.523
487,disparaging,0.523
488,incarceration,0.523
489,derogation,0.523
490,avarice,0.523
491,disgraced,0.523
492,mistress,0.523
493,rubbish,0.523
494,blighted,0.523
495,mite,0.516
496,deplorable,0.516
497,daemon,0.516
498,cringe,0.516
499,dishonor,0.516
500,grim,0.516
501,eradication,0.516
502,tortious,0.516
503,betray,0.516
504,stink,0.516
505,degrade,0.516
506,remains,0.516
507,sump,0.516
508,convict,0.516
509,gutter,0.516
510,defraud,0.516
511,rob,0.516
512,vulture,0.516
513,sham,0.509
514,dreadfully,0.508
515,smelling,0.508
516,schizophrenia,0.508
517,disaster,0.508
518,bombed,0.508
519,delirium,0.508
520,endemic,0.508
521,distasteful,0.508
522,glut,0.508
523,incurable,0.508
524,prisoner,0.508
525,resentment,0.508
526,distress,0.508
527,blob,0.508
528,rejection,0.508
529,belittle,0.508
530,worthless,0.508
531,cheat,0.508
532,crude,0.508
533,idiocy,0.508
534,pest,0.508
535,offense,0.500
536,bribery,0.500
537,idolatry,0.500
538,tirade,0.500
539,jealousy,0.500
540,flagrant,0.500
541,impeach,0.500
542,mire,0.500
543,goblin,0.500
544,screaming,0.500
545,dirt,0.500
546,bitterness,0.500
547,banish,0.500
548,taboo,0.500
549,blight,0.500
550,impurity,0.500
551,greed,0.500
552,duress,0.500
553,shackle,0.500
554,polemic,0.500
555,theft,0.500
556,derision,0.500
557,wreck,0.492
558,boil,0.492
559,malign,0.492
560,disreputable,0.492
561,ill,0.492
562,leer,0.492
563,unconscionable,0.492
564,squirm,0.492
565,recession,0.492
566,robber,0.492
567,gorge,0.492
568,idiot,0.492
569,offender,0.484
570,possessed,0.484
571,subjugation,0.484
572,stain,0.484
573,mad,0.484
574,unbearable,0.484
575,aversation,0.484
576,nappy,0.484
577,disrespectful,0.484
578,nepotism,0.484
579,defamation,0.484
580,contraband,0.484
581,tramp,0.484
582,mutiny,0.484
583,inexcusable,0.484
584,wasteful,0.484
585,contempt,0.484
586,affliction,0.484
587,mess,0.484
588,servile,0.484
589,snarl,0.484
590,occult,0.484
591,animosity,0.484
592,raging,0.484
593,illegality,0.477
594,dismal,0.477
595,uncaring,0.477
596,antagonistic,0.477
597,suppression,0.477
598,unpleasant,0.477
599,immorality,0.477
600,mockery,0.477
601,pathetic,0.477
602,criminal,0.477
603,palsy,0.477
604,banishment,0.469
605,aggravation,0.469
606,outrage,0.469
607,angry,0.469
608,cough,0.469
609,perspiration,0.469
610,furious,0.469
611,wallow,0.469
612,banshee,0.469
613,shoddy,0.469
614,mocking,0.469
615,livid,0.469
616,arrogant,0.469
617,grating,0.469
618,poverty,0.469
619,repellent,0.469
620,fool,0.461
621,perdition,0.461
622,scar,0.461
623,spurious,0.461
624,quack,0.461
625,prick,0.461
626,insulting,0.461
627,plunder,0.461
628,recklessness,0.461
629,fraudulent,0.461
630,spider,0.461
631,deplore,0.461
632,muddy,0.461
633,unjustifiable,0.461
634,distorted,0.461
635,deceive,0.461
636,elimination,0.453
637,dishonest,0.453
638,alienate,0.453
639,disparage,0.453
640,selfish,0.453
641,dire,0.453
642,bane,0.453
643,indignation,0.453
644,eschew,0.453
645,unthinkable,0.453
646,stigma,0.453
647,aphid,0.453
648,disingenuous,0.453
649,cur,0.453
650,antipathy,0.453
651,bankruptcy,0.445
652,wasted,0.445
653,mosquito,0.445
654,despair,0.445
655,smell,0.445
656,lie,0.445
657,piles,0.445
658,pious,0.445
659,caries,0.445
660,egotistical,0.445
661,opium,0.445
662,recalcitrant,0.445
663,garish,0.445
664,iniquity,0.445
665,vacuous,0.445
666,abject,0.438
667,scream,0.438
668,inmate,0.438
669,abnormal,0.438
670,alien,0.438
671,aversion,0.438
672,hog,0.438
673,sticky,0.438
674,homeless,0.438
675,ashamed,0.438
676,obnoxious,0.438
677,shun,0.438
678,hopelessness,0.438
679,adverse,0.430
680,denounce,0.430
681,lusty,0.430
682,trickery,0.430
683,incredulous,0.430
684,callous,0.430
685,debris,0.430
686,shameless,0.430
687,curse,0.430
688,pall,0.430
689,illegal,0.430
690,cursing,0.430
691,defiance,0.430
692,undesirable,0.430
693,reflux,0.430
694,separatist,0.430
695,creature,0.430
696,falsity,0.430
697,witch,0.430
698,denunciation,0.422
699,collapse,0.422
700,impure,0.422
701,idiotic,0.422
702,nicotine,0.422
703,socialist,0.422
704,pompous,0.422
705,tarnish,0.422
706,ammonia,0.422
707,infantile,0.422
708,mistrust,0.422
709,hypertrophy,0.422
710,affront,0.422
711,offend,0.422
712,swarm,0.422
713,slush,0.422
714,hairy,0.422
715,gush,0.422
716,ferocious,0.422
717,untidy,0.422
718,contentious,0.422
719,wasting,0.422
720,bovine,0.422
721,bum,0.422
722,delinquent,0.422
723,badness,0.422
724,carelessness,0.422
725,tasteless,0.422
726,unfavorable,0.414
727,illegitimate,0.414
728,socialism,0.414
729,vampire,0.414
730,displacency,0.414
731,dishonesty,0.414
732,murky,0.414
733,disobey,0.414
734,sour,0.414
735,drivel,0.414
736,vegetative,0.414
737,neglected,0.414
738,litigious,0.414
739,falsify,0.406
740,disgruntled,0.406
741,displeasure,0.406
742,phony,0.406
743,shoplifting,0.406
744,prosecution,0.406
745,outcast,0.406
746,unkind,0.406
747,recidivism,0.406
748,discontinuity,0.406
749,wrongdoing,0.406
750,repel,0.406
751,bogus,0.406
752,unlawful,0.406
753,ignorant,0.406
754,ungrateful,0.406
755,dislike,0.406
756,rigor,0.398
757,lick,0.398
758,averse,0.398
759,woe,0.398
760,woefully,0.398
761,failure,0.398
762,amphetamines,0.398
763,disdain,0.398
764,worsening,0.398
765,crushing,0.398
766,unnatural,0.398
767,stingy,0.398
768,paucity,0.398
769,subvert,0.398
770,unruly,0.398
771,senseless,0.398
772,loon,0.398
773,insult,0.393
774,damage,0.391
775,critter,0.391
776,averseness,0.391
777,bad,0.391
778,farcical,0.391
779,scorpion,0.391
780,hardened,0.391
781,antisocial,0.391
782,disrelish,0.391
783,punishment,0.391
784,punished,0.391
785,muff,0.391
786,diatribe,0.391
787,expel,0.391
788,eviction,0.383
789,guilt,0.383
790,sacrifices,0.383
791,illiterate,0.383
792,orc,0.383
793,discord,0.383
794,irrational,0.383
795,divorce,0.383
796,anaconda,0.383
797,surly,0.383
798,adder,0.383
799,presumptuous,0.383
800,teeming,0.383
801,plagiarism,0.383
802,disappoint,0.383
803,fugitive,0.383
804,fulsome,0.383
805,hypocritical,0.383
806,shabby,0.383
807,lament,0.383
808,irritating,0.375
809,dislocated,0.375
810,alienation,0.375
811,unworthy,0.375
812,misconduct,0.375
813,plight,0.375
814,blame,0.375
815,scoff,0.375
816,depressing,0.375
817,shock,0.375
818,defective,0.375
819,irritation,0.375
820,revoke,0.367
821,stripped,0.367
822,cad,0.367
823,exclusion,0.367
824,wimp,0.367
825,shuddering,0.367
826,blatant,0.367
827,vainly,0.367
828,disillusionment,0.367
829,hoax,0.367
830,squelch,0.367
831,powerless,0.367
832,pitfall,0.367
833,toad,0.367
834,hurtful,0.367
835,wimpy,0.367
836,unhealthy,0.367
837,coerce,0.367
838,ineptitude,0.359
839,bug,0.359
840,incompatible,0.359
841,rebellion,0.359
842,oddity,0.359
843,deserted,0.359
844,disobedience,0.359
845,damn,0.359
846,dispose,0.359
847,obi,0.352
848,ridiculous,0.352
849,litigate,0.352
850,fierce,0.352
851,untoward,0.352
852,compost,0.352
853,inept,0.352
854,crushed,0.352
855,displeased,0.352
856,frustrate,0.352
857,dismissal,0.352
858,censor,0.352
859,uncertain,0.352
860,flesh,0.352
861,lawyer,0.352
862,cutting,0.352
863,misbehavior,0.352
864,wrongful,0.352
865,flinch,0.352
866,tearful,0.344
867,disapprove,0.344
868,depreciate,0.344
869,lumpy,0.336
870,heartsick,0.336
871,thoughtless,0.336
872,lawsuit,0.336
873,discontent,0.336
874,daft,0.336
875,blunder,0.336
876,disinclination,0.336
877,distrust,0.336
878,disallowed,0.336
879,bickering,0.336
880,exigent,0.336
881,grumble,0.336
882,unsettled,0.336
883,annoy,0.336
884,disliked,0.336
885,discoloration,0.336
886,unsatisfactory,0.328
887,provoking,0.328
888,exasperation,0.328
889,inhibit,0.328
890,hydrophobia,0.328
891,excluded,0.328
892,whine,0.328
893,instability,0.328
894,sly,0.328
895,disappointed,0.328
896,unmanageable,0.328
897,materialist,0.328
898,cacophony,0.328
899,grievance,0.328
900,misleading,0.321
901,disclaim,0.320
902,disapproving,0.320
903,humbug,0.320
904,annoyance,0.320
905,soot,0.320
906,confined,0.320
907,unequal,0.320
908,reproach,0.320
909,rags,0.320
910,disservice,0.320
911,groan,0.320
912,mishap,0.320
913,disincline,0.312
914,criticize,0.312
915,theism,0.312
916,overpriced,0.312
917,stomach,0.312
918,inappropriate,0.312
919,depreciated,0.312
920,burke,0.312
921,sneeze,0.312
922,soil,0.312
923,inconsiderate,0.312
924,bang,0.305
925,grumpy,0.305
926,shack,0.305
927,inadmissible,0.305
928,gall,0.305
929,disparity,0.305
930,unfriendly,0.305
931,latent,0.305
932,unaccountable,0.305
933,disliking,0.305
934,coop,0.304
935,congress,0.297
936,scold,0.297
937,rogue,0.297
938,lonely,0.297
939,disappointment,0.297
940,disregarded,0.297
941,soreness,0.297
942,growling,0.297
943,delay,0.297
944,backwards,0.297
945,janitor,0.289
946,infamous,0.289
947,flop,0.289
948,lesbian,0.289
949,catechism,0.289
950,nettle,0.289
951,notoriety,0.289
952,wince,0.281
953,aftermath,0.281
954,saturated,0.281
955,prohibited,0.281
956,unfair,0.281
957,desist,0.281
958,gaby,0.281
959,remiss,0.281
960,huff,0.273
961,tribunal,0.273
962,wrangling,0.273
963,discolored,0.273
964,uneasy,0.273
965,impolite,0.266
966,swig,0.266
967,frantic,0.266
968,unsatisfied,0.266
969,crawl,0.266
970,weird,0.266
971,coldness,0.266
972,politic,0.266
973,bureaucrat,0.266
974,inefficiency,0.266
975,rascal,0.258
976,instinctive,0.258
977,copycat,0.258
978,barrow,0.258
979,gruff,0.258
980,sarcasm,0.258
981,incase,0.258
982,octopus,0.258
983,chagrin,0.258
984,john,0.250
985,baboon,0.250
986,lose,0.250
987,disinclined,0.250
988,shanghai,0.250
989,hulk,0.250
990,cupping,0.250
991,misconception,0.250
992,opponent,0.242
993,tariff,0.242
994,entangled,0.242
995,gratuitous,0.242
996,scrub,0.242
997,rook,0.242
998,unlucky,0.234
999,resign,0.234
1000,reluctance,0.234
1001,lagging,0.234
1002,questionable,0.234
1003,misstatement,0.234
1004,prolong,0.234
1005,backwardness,0.234
1006,disqualified,0.227
1007,unpopular,0.227
