,word,score
721,crazy,0.500
722,anguish,0.500
723,confined,0.500
724,scoff,0.500
725,shun,0.500
726,derogation,0.500
727,banished,0.500
728,hammering,0.500
729,brunt,0.500
730,possessed,0.500
731,nobodycares,0.500
732,frenzied,0.500
733,ordeal,0.500
734,delusional,0.500
735,reject,0.500
736,obstruct,0.500
737,foaming,0.500
738,intractable,0.500
739,bout,0.500
740,brazen,0.500
741,patronising,0.500
742,rejects,0.500
743,fervor,0.500
744,dominate,0.500
745,derision,0.500
746,spear,0.500
747,suppression,0.500
748,animus,0.500
749,unruly,0.500
750,disrupting,0.500
751,malpractice,0.500
752,defy,0.500
753,injustice,0.500
754,antithesis,0.500
755,getoveryourself,0.495
756,toughness,0.492
757,stupidpeople,0.492
758,madness,0.491
759,sinful,0.491
760,oppress,0.490
761,avarice,0.490
762,revoke,0.485
763,incest,0.485
764,smuggler,0.485
765,avenger,0.485
766,disapproved,0.485
767,demand,0.485
768,stayaway,0.485
769,claw,0.485
770,infraction,0.485
771,cutting,0.485
772,pervert,0.485
773,fricking,0.485
774,anathema,0.485
775,annoyed,0.485
776,disobedient,0.485
777,alienate,0.485
778,disservice,0.485
779,abolish,0.485
780,inhuman,0.485
781,dissident,0.485
782,complaint,0.485
783,usurp,0.485
784,obnoxious,0.484
785,deceit,0.484
786,disgrace,0.484
787,opposed,0.484
788,renounce,0.484
789,litigious,0.484
790,imprisoned,0.484
791,mocking,0.484
792,blame,0.484
793,penalty,0.484
794,thresh,0.484
795,upheaval,0.484
796,restrain,0.484
797,strained,0.484
798,sucker,0.484
799,rivalry,0.484
800,oust,0.484
801,suspicious,0.484
802,turbulence,0.483
803,pound,0.481
804,coldness,0.477
805,ungrateful,0.472
806,battalion,0.471
807,stoopid,0.471
808,adversity,0.470
809,ram,0.470
810,gall,0.470
811,infidel,0.470
812,annoying,0.470
813,friction,0.470
814,hostage,0.470
815,jealous,0.470
816,accuser,0.470
817,feudalism,0.470
818,subversion,0.470
819,armament,0.470
820,dispossessed,0.470
821,distress,0.469
822,intolerance,0.469
823,subversive,0.469
824,opposition,0.469
825,exile,0.469
826,plunder,0.469
827,recidivism,0.469
828,objection,0.469
829,steal,0.469
830,offense,0.469
