,word,score
731,conflict,0.469
732,dashed,0.469
733,uneasiness,0.469
734,convict,0.469
735,collapse,0.469
736,fallout,0.469
737,expulsion,0.469
738,frustrate,0.469
739,criticize,0.469
740,measles,0.469
741,recidivism,0.469
742,frayed,0.467
743,infamy,0.464
744,plunder,0.461
745,depreciated,0.460
746,wane,0.456
747,badly,0.455
748,unlawful,0.455
749,gone,0.453
750,scarcity,0.453
751,secluded,0.453
752,memorials,0.453
753,surrender,0.453
754,inability,0.453
755,tribulation,0.453
756,perplexity,0.453
757,inhospitable,0.453
758,invade,0.453
759,worse,0.453
760,disapprove,0.453
761,wrongly,0.453
762,revolver,0.453
763,vulgarity,0.453
764,bittersweet,0.453
765,discriminate,0.453
766,foreclose,0.453
767,upheaval,0.453
768,wreck,0.453
769,despotism,0.453
770,fell,0.453
771,frown,0.453
772,confiscate,0.453
773,criticise,0.453
774,doldrums,0.453
775,refugee,0.453
776,avalanche,0.453
777,lowly,0.448
778,lone,0.446
779,guillotine,0.446
780,encumbrance,0.441
781,annulment,0.440
782,delirious,0.439
783,confinement,0.439
784,badday,0.439
785,bummer,0.439
786,underpaid,0.438
787,detainee,0.438
788,restriction,0.438
789,stigma,0.438
790,fugitive,0.438
791,sympathize,0.438
792,indigent,0.438
793,bum,0.438
794,pensive,0.438
795,paucity,0.438
796,blues,0.438
797,emotional,0.438
798,diminish,0.438
799,disapproving,0.438
800,disapproved,0.438
801,darkened,0.438
802,apathetic,0.438
803,imprudent,0.438
804,abscess,0.438
805,insignificant,0.438
806,animosity,0.438
807,cancellation,0.438
808,problem,0.438
809,forbid,0.438
810,lunacy,0.438
811,dislocated,0.438
812,disagreement,0.438
813,lethargy,0.438
814,rejects,0.438
815,disconnected,0.438
816,absent,0.438
817,departure,0.438
818,ghetto,0.438
819,unattainable,0.438
820,futile,0.438
821,coercion,0.438
822,deflate,0.438
823,insolvency,0.438
824,farewell,0.438
825,appendicitis,0.438
826,bothering,0.435
827,disqualified,0.435
828,tripping,0.429
829,sunk,0.426
830,draining,0.424
831,lastday,0.424
832,varicella,0.424
833,retribution,0.424
834,cardiomyopathy,0.422
835,scarce,0.422
836,thief,0.422
837,unequal,0.422
838,cutting,0.422
839,neuralgia,0.422
840,unwelcome,0.422
841,haunted,0.422
842,insolvent,0.422
843,rip,0.422
844,cyst,0.422
845,jarring,0.422
846,deviation,0.422
847,wrongdoing,0.422
848,bad,0.422
849,handicap,0.422
850,dispassionate,0.422
851,falling,0.422
852,beggar,0.422
853,difficulties,0.421
854,invader,0.420
855,drab,0.420
856,fall,0.418
857,illegitimate,0.416
858,expel,0.414
859,darkness,0.409
860,meaningless,0.409
861,syncope,0.407
862,obnoxious,0.406
863,darken,0.406
864,enmity,0.406
865,bitch,0.406
866,confine,0.406
867,hoax,0.406
868,precarious,0.406
869,feudalism,0.406
870,wildfire,0.406
871,fatigued,0.406
872,fault,0.406
873,stroke,0.406
874,subjected,0.406
875,fury,0.406
876,unsatisfied,0.405
877,spank,0.403
878,deluge,0.402
879,sigh,0.402
880,spinster,0.400
881,blue,0.400
882,owing,0.398
883,needalife,0.398
884,embarrass,0.394
885,pitfall,0.394
886,seriousness,0.394
887,pointless,0.394
888,cage,0.391
889,brute,0.391
890,exhausted,0.391
891,debt,0.391
892,condescension,0.391
893,reproach,0.391
894,noose,0.391
895,insulting,0.391
896,ifonly,0.391
897,stretcher,0.391
898,trickery,0.391
899,punch,0.391
900,coldness,0.391
901,dwarfed,0.391
902,ravenous,0.391
903,feeble,0.391
904,inefficient,0.391
905,refused,0.391
906,daemon,0.391
907,banshee,0.391
908,monsoon,0.391
909,rue,0.391
910,ineptitude,0.391
911,subvert,0.384
912,jealousy,0.382
913,geriatric,0.379
914,miss,0.379
915,struggle,0.379
916,inexcusable,0.379
917,entangled,0.377
918,descent,0.377
919,ashes,0.377
920,inconsiderate,0.375
921,sucks,0.375
922,blackness,0.375
923,slump,0.375
924,noncompliance,0.375
925,scar,0.375
926,murky,0.375
927,funk,0.375
928,landslide,0.375
929,disqualify,0.375
930,wasting,0.375
931,exhaustion,0.375
932,goodbye,0.375
933,sympathy,0.375
934,oust,0.375
935,parting,0.375
936,withdraw,0.375
937,inferior,0.375
938,prostitution,0.375
939,dispel,0.375
940,overcast,0.375
941,rabid,0.375
942,unattractive,0.373
943,delay,0.373
944,apologize,0.370
945,crazy,0.368
946,bastard,0.366
947,deteriorated,0.365
948,inter,0.364
949,empty,0.364
950,mocking,0.363
951,adder,0.361
952,perpetrator,0.359
953,hindering,0.359
954,affront,0.359
955,arraignment,0.359
956,fruitless,0.359
957,unable,0.359
958,disconnect,0.359
959,defendant,0.359
960,corse,0.359
961,obesity,0.359
962,taunt,0.359
963,servile,0.359
964,misunderstanding,0.359
965,austere,0.359
966,doubt,0.359
967,wrangling,0.359
968,hunter,0.359
969,unsuccessful,0.359
970,inefficiency,0.359
971,consecration,0.359
972,tremor,0.359
973,unemployed,0.359
974,fuss,0.359
975,unpopular,0.359
976,fainting,0.359
977,numbness,0.359
978,flounder,0.359
979,idiocy,0.359
980,lockup,0.359
981,plaintive,0.359
982,unrest,0.351
983,spoiler,0.348
984,intervention,0.348
985,waste,0.348
986,wimpy,0.348
987,absentee,0.348
988,flaw,0.347
989,desert,0.344
990,cumbersome,0.344
991,specter,0.344
992,resigned,0.344
993,furrow,0.344
994,lagging,0.344
995,forfeit,0.344
996,uninspired,0.344
997,plea,0.344
998,intercede,0.344
999,stained,0.344
1000,litigate,0.344
1001,blindly,0.344
1002,attenuation,0.344
1003,militia,0.344
1004,surgery,0.344
1005,detention,0.344
1006,lawsuit,0.344
1007,thrash,0.344
1008,uninvited,0.344
1009,unaccountable,0.339
1010,myopia,0.339
1011,mishap,0.338
1012,probation,0.336
1013,severance,0.333
1014,disagreeing,0.333
1015,incompetent,0.328
1016,nether,0.328
1017,endless,0.328
1018,dependence,0.328
1019,disallowed,0.328
1020,bondage,0.328
1021,soreness,0.328
1022,unacknowledged,0.328
1023,squall,0.328
1024,unacceptable,0.328
1025,adrift,0.328
1026,nepotism,0.328
1027,sterile,0.328
1028,bacteria,0.328
1029,leave,0.328
1030,scold,0.327
1031,flaccid,0.324
1032,hobo,0.323
1033,fragile,0.319
1034,stingy,0.319
1035,sue,0.318
1036,scarcely,0.318
1037,wan,0.312
1038,committal,0.312
1039,mistake,0.312
1040,clouded,0.312
1041,skid,0.312
1042,defy,0.312
1043,thresh,0.312
1044,fatty,0.312
1045,nostalgia,0.312
1046,inhibit,0.312
1047,evanescence,0.312
1048,ulcer,0.312
1049,hamstring,0.312
1050,nonsensical,0.312
1051,conceal,0.311
1052,blemish,0.310
1053,resisting,0.309
1054,sympathetic,0.307
1055,bugaboo,0.304
1056,confess,0.303
1057,opium,0.303
1058,alas,0.302
1059,incase,0.297
1060,halting,0.297
1061,incompatible,0.297
1062,migraine,0.297
1063,mislead,0.297
1064,toocold,0.297
1065,suppress,0.297
1066,inappropriate,0.297
1067,discontinuity,0.297
1068,setback,0.297
1069,dull,0.297
1070,weak,0.297
1071,subsidence,0.297
1072,wrinkled,0.297
1073,hermit,0.296
1074,moving,0.295
1075,shrink,0.295
1076,shiver,0.291
1077,tramp,0.288
1078,unimportant,0.288
1079,constraint,0.288
1080,rubble,0.282
1081,negro,0.281
1082,grey,0.281
1083,flinch,0.281
1084,apathy,0.281
1085,confession,0.281
1086,down,0.281
1087,remove,0.281
1088,unseat,0.281
1089,wearily,0.281
1090,taint,0.281
1091,excluding,0.281
1092,overdue,0.281
1093,shortage,0.281
1094,grumpy,0.281
1095,flop,0.281
1096,revoke,0.281
1097,adverse,0.281
1098,black,0.281
1099,scrapie,0.281
1100,timid,0.281
1101,senseless,0.281
1102,knell,0.275
1103,soldier,0.273
1104,humbled,0.273
1105,confusion,0.273
1106,throb,0.273
1107,jurisprudence,0.273
1108,gray,0.269
1109,shack,0.266
1110,mixedemotions,0.266
1111,obstacle,0.266
1112,lax,0.266
1113,remiss,0.266
1114,slur,0.266
1115,unrealistic,0.266
1116,drifted,0.266
1117,eternity,0.266
1118,leaving,0.266
1119,inconvenient,0.263
1120,misrepresentation,0.259
1121,restrict,0.259
1122,stagnant,0.259
1123,disservice,0.258
1124,nosun,0.255
1125,backwater,0.255
1126,wilderness,0.255
1127,error,0.250
1128,anchorage,0.250
1129,unexplained,0.250
1130,humbug,0.250
1131,gullible,0.250
1132,speculation,0.250
1133,communism,0.250
1134,uneducated,0.250
1135,tempest,0.250
1136,bang,0.250
1137,labored,0.250
1138,incomplete,0.250
1139,wasteful,0.250
1140,pine,0.250
1141,undying,0.250
1142,older,0.250
1143,demonstrative,0.242
1144,melodrama,0.242
1145,rainyday,0.242
1146,necessity,0.236
1147,boredom,0.235
1148,cloudy,0.234
1149,hollow,0.234
1150,burke,0.234
1151,trash,0.234
1152,pale,0.234
1153,depart,0.234
1154,uninteresting,0.234
1155,sentence,0.234
1156,void,0.234
1157,cancel,0.234
1158,foggy,0.234
1159,warp,0.234
1160,misty,0.234
1161,blockade,0.234
1162,healing,0.234
1163,case,0.228
1164,rainy,0.227
1165,onerous,0.223
1166,bottom,0.223
1167,uninterested,0.223
1168,fasting,0.220
1169,coping,0.219
1170,discolored,0.219
1171,thirst,0.219
1172,boooo,0.219
1173,pious,0.219
1174,blunder,0.219
1175,indifference,0.219
1176,dole,0.219
1177,cocaine,0.218
1178,tough,0.212
1179,revolution,0.203
1180,fat,0.203
1181,arid,0.203
1182,sluggish,0.203
1183,yucky,0.203
1184,sprain,0.203
1185,chilly,0.203
1186,lower,0.203
1187,chargeable,0.203
1188,hoary,0.203
1189,wanting,0.202
1190,progression,0.201
1191,closure,0.195
1192,unbeaten,0.193
1193,rack,0.188
1194,halter,0.188
1195,meh,0.188
1196,cold,0.188
1197,tease,0.188
1198,splitting,0.188
1199,rumor,0.188
1200,cataract,0.188
1201,invalid,0.188
1202,heartfelt,0.188
1203,oddity,0.188
1204,veal,0.188
1205,retirement,0.188
1206,interrupted,0.188
1207,concerned,0.184
1208,sarcasm,0.181
1209,strip,0.179
1210,feeling,0.172
1211,sap,0.172
1212,memories,0.172
1213,eschew,0.172
1214,esteem,0.172
1215,cupping,0.172
1216,overload,0.172
1217,divided,0.172
1218,destination,0.170
1219,nosnow,0.169
1220,limited,0.167
1221,rain,0.163
1222,willful,0.160
1223,untitled,0.157
1224,stint,0.156
1225,weeds,0.156
1226,cross,0.156
1227,pare,0.155
1228,snort,0.154
1229,procession,0.152
1230,inconsequential,0.152
1231,tax,0.142
1232,overpriced,0.141
1233,lesbian,0.141
1234,weight,0.141
1235,tolerate,0.141
1236,mug,0.141
1237,emo,0.141
1238,touchy,0.140
1239,grounded,0.130
1240,kennel,0.130
1241,commemorate,0.125
1242,late,0.125
1243,theocratic,0.125
1244,margin,0.125
1245,socialist,0.125
1246,stillness,0.125
1247,meek,0.125
1248,terrific,0.125
1249,sisterhood,0.125
1250,clouds,0.125
1251,unpaid,0.125
1252,default,0.121
1253,lace,0.118
1254,unpublished,0.116
1255,interested,0.114
1256,fortress,0.110
1257,fleece,0.109
1258,priesthood,0.109
1259,rating,0.109
1260,ultimate,0.109
1261,lush,0.109
1262,orchestra,0.109
1263,harry,0.109
1264,sanctify,0.108
1265,income,0.100
1266,winning,0.094
1267,quiet,0.094
1268,sonnet,0.094
1269,boo,0.094
1270,vainly,0.091
1271,hut,0.078
1272,opera,0.078
1273,humble,0.078
1274,motivating,0.078
1275,wet,0.078
1276,ovation,0.078
1277,hug,0.078
1278,treat,0.076
1279,hymn,0.064
1280,honest,0.062
1281,relics,0.061
1282,couch,0.060
1283,waffle,0.047
1284,shell,0.045
1285,musical,0.045
1286,savor,0.034
1287,napkin,0.031
1288,vote,0.031
1289,sing,0.017
1290,music,0.016
1291,mother,0.016
1292,nutritious,0.015
1293,lovely,0.009
1294,liquor,0.000
1295,sweetheart,0.000
1296,romance,0.000
1297,art,0.000
